TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-1-2025","2025-01-07 15:57:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","1421000","68.67","68.67","1 B/R","1","","","","1","1","","Lacina"
"102-10-2025","2025-01-02 08:23:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","600000","47.25","47.25","Studio","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","1","","Binghatti Hills "
"102-100-2025","2025-01-02 15:18:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","542000","32.35","32.35","Studio","1","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","AZIZI JEWEL "
"102-1000-2025","2025-01-08 11:02:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","3194731","259.03","259.03","2 B/R","2","","","","1","1","","Verdes by Haven 1"
"102-100058-2024","2025-01-25 14:16:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","556248.5","30.27","30.27","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-100077-2024","2025-01-25 16:35:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","585448","29.42","29.42","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-100078-2024","2025-01-25 14:58:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","607051","28.78","28.78","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-100087-2024","2025-01-17 08:28:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","551466.67","39.96","39.96","Studio","1","","","IMG World Adventures","1","1","","Samana Park Meadows"
"102-1001-2025","2025-01-08 11:24:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","2000000","134.1","134.1","2 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","1","","Opalz By Danube"
"102-1002-2025","2025-01-08 11:11:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","3952000","133.94","133.94","2 B/R","1","","","","1","1","","Bayz 102 By Danube "
"102-1003-2025","2025-01-08 11:15:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","1865167","129.25","129.25","2 B/R","1","","","","1","1","","Verdes by Haven 1"
"102-1004-2025","2025-01-08 12:23:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1100000","47.58","47.58","1 B/R","1","","","","1","1","","Sobha Hartland - The Crest"
"102-100465-2024","2025-01-17 08:36:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1485244.45","119.15","119.15","2 B/R","1","","","IMG World Adventures","1","1","","Samana Park Meadows"
"102-1005-2025","2025-01-08 13:35:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jumeirah First","Unit","Flat","7100000","196.71","196.71","3 B/R","2","","","","1","2","","PORT DE LA MER - LE SOLEIL "
"102-100577-2024","2025-01-25 16:36:37","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","565162","28.13","28.13","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-1006-2025","2025-01-08 11:32:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","3869888","263.29","263.29","4 B/R","","","","","2","1","","Greenville"
"102-1007-2025","2025-01-08 11:40:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2580000","176.86","176.86","3 B/R","","","","","1","2","","The Valley - Nima"
"102-1008-2025","2025-01-08 11:34:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","3091888","172.53","172.53","3 B/R","","","","","2","1","","Greenridge"
"102-100843-2024","2025-01-17 08:52:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1104000","74.37","74.37","1 B/R","1","","","IMG World Adventures","1","1","","Samana Park Meadows"
"102-1009-2025","2025-01-08 11:25:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","2114132","133.12","133.12","2 B/R","1","","","","1","1","","Verdes by Haven 1"
"102-101-2025","2025-01-02 15:31:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","3220000","89.53","89.53","2 B/R","1","Business Bay Metro Station","Dubai Mall","Burj Khalifa","1","1","","Bayz 101 By Danube"
"102-1010-2025","2025-01-10 09:13:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","4070000","216.35","216.35","3 B/R","2","","","","2","1","","Lacina"
"102-1011-2025","2025-01-08 11:40:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","689951","34.73","34.73","Studio","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Ashton Park Residences The Second"
"102-1012-2025","2025-01-08 11:48:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","4259000","153.93","153.93","3 B/R","2","","","","1","1","","Saria"
"102-1013-2025","2025-01-08 11:34:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","639576","39.84","39.84","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","Samana Lake Views"
"102-101301-2024","2025-01-17 08:48:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","788999","49.48","49.48","Studio","1","","","IMG World Adventures","1","1","","Samana Park Meadows"
"102-101302-2024","2025-01-17 08:30:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","709000","40.52","40.52","Studio","1","","","IMG World Adventures","2","1","","Samana Park Meadows"
"102-101309-2024","2025-01-25 15:44:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","847123","52.42","52.42","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101310-2024","2025-01-25 15:45:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1017200","60.58","60.58","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","RED SQUARE"
"102-101324-2024","2025-01-17 08:39:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","744000","40.34","40.34","Studio","1","","","IMG World Adventures","1","1","","Samana Park Meadows"
"102-101327-2024","2025-01-25 16:37:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","526372","28.13","28.13","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101332-2024","2025-01-25 15:54:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","565516","30.27","30.27","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101333-2024","2025-01-25 15:40:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","522623","29.42","29.42","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101336-2024","2025-01-25 15:05:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","565989","29.89","29.89","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101343-2024","2025-01-17 08:27:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1114000","80.93","80.93","1 B/R","1","","","IMG World Adventures","1","1","","Samana Park Meadows"
"102-101347-2024","2025-01-25 14:23:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","903477","51.9","51.9","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101361-2024","2025-01-25 15:33:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","805048","52.43","52.43","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101370-2024","2025-01-25 14:59:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","622194","30.53","30.53","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101372-2024","2025-01-25 14:53:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","516765","28.82","28.82","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","RED SQUARE"
"102-1014-2025","2025-01-08 11:31:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Hind 4","Unit","Flat","1235000","88.98","88.98","2 B/R","1","","","","2","1","","DAMAC HILLS (2) - ELO"
"102-1015-2025","2025-01-08 11:37:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","4360888","299.41","299.41","4 B/R","","","","","1","1","","The Valley - Avena"
"102-101654-2024","2025-01-25 13:44:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","608963","30.55","30.55","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101655-2024","2025-01-25 13:47:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","587913","29.9","29.9","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101656-2024","2025-01-25 13:50:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","553724","29.73","29.73","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
